home_team,probability,total_games,reliability,confidence
Kapfenberg Bulls,0.3333333333333333,9,Low,0.3079842869168074
Karhu Basket,0.6,10,Low,0.3036418943426615
Karsiyaka,0.7272727272727273,11,Low,0.2631919879849005
Kataja,0.5,10,Low,0.3099032106965012
Keila Coolbet,0.42857142857142855,7,Low,0.3666060555964672
Keila KK,0.25,8,Low,0.3000624934909393
Keravnos,0.5,12,Low,0.2829016319029166
Khimki M.,0.6666666666666666,9,Low,0.3079842869168074
Kirchheim,0.45454545454545453,11,Low,0.29425758813377273
Klosterneuburg Dukes,0.625,8,Low,0.33548006647191425
KoGas,0.75,12,Low,0.245
Koblenz,0.5,10,Low,0.3099032106965012
Kobrat,0.5,10,Low,0.3099032106965012
Kolossos Rhodes,0.6363636363636364,11,Low,0.2842798380047696
Konya BBSK,0.3333333333333333,12,Low,0.2667222164363905
Kormend,0.625,8,Low,0.33548006647191425
Kortrijk,0.18181818181818182,11,Low,0.22793094766745262
Kouvot Kouvola,0.5,10,Low,0.3099032106965012
Kozuv,0.5,6,Low,0.40008332465458574
Kretinga,0.42857142857142855,14,Low,0.2592296279363144
Kryvbas,0.5714285714285714,7,Low,0.3666060555964672
Kutaisi,0.5714285714285714,7,Low,0.3666060555964672
Kvarner,0.5555555555555556,9,Low,0.32464394339996944
Kyiv Basket,0.7142857142857143,7,Low,0.3346640106136302
LG Sakers,0.9090909090909091,11,Low,0.16988969772012374
LTH Castings,0.25,8,Low,0.3000624934909393
LWD Basket,0.8,10,Low,0.2479225685572009
La Rochelle,0.4444444444444444,9,Low,0.32464394339996944
La Union,0.42857142857142855,7,Low,0.3666060555964672
Las Vegas Aces W,0.875,8,Low,0.2291765149399039
Latvijas Universitate,0.7,10,Low,0.284030984225313
Lausanne Basket,0.5714285714285714,7,Low,0.3666060555964672
Lavrio,0.14285714285714285,7,Low,0.25922962793631443
Le Mans,0.5555555555555556,9,Low,0.32464394339996944
Le Portel,0.8666666666666667,15,Low,0.17203066048861215
Legia,0.8571428571428571,7,Low,0.25922962793631443
Leiden,0.45454545454545453,11,Low,0.29425758813377273
Leuven Bears,0.5454545454545454,11,Low,0.29425758813377273
Levice,0.5882352941176471,17,Low,0.2339546649750468
Levski,0.3333333333333333,6,Low,0.3772021758705555
Libertas Livorno,0.5,12,Low,0.2829016319029166
Lietkabelis,0.4666666666666667,15,Low,0.252471985978056
Limburg,0.5882352941176471,17,Low,0.2339546649750468
Limoges,0.6666666666666666,9,Low,0.3079842869168074
Lokomotiv Kuban,0.5714285714285714,14,Low,0.25922962793631443
Lokomotiv Kuban 2,0.4166666666666667,12,Low,0.27894477085112235
London Lions,0.2,5,Low,0.3506154588719671
Lublin,0.42857142857142855,7,Low,0.3666060555964672
Ludwigsburg,0.5333333333333333,15,Low,0.252471985978056
Lugano Tigers,0.2857142857142857,7,Low,0.3346640106136302
Lusitania,0.6666666666666666,6,Low,0.3772021758705555
Lyon-Villeurbanne,0.5263157894736842,19,Low,0.22451580792878256
MBA Moscow,0.6428571428571429,14,Low,0.25099800796022265
MBK Handlova,0.6363636363636364,11,Low,0.2842798380047696
MKE Ankaragucu,0.4166666666666667,12,Low,0.27894477085112235
MKK Kumanovo,0.8,5,Low,0.350615458871967
MZT Skopje,0.5,10,Low,0.3099032106965012
Maccabi Ironi Ramat Gan,0.8,5,Low,0.350615458871967
Maccabi Tel Aviv,0.7,10,Low,0.284030984225313
Maia,0.2857142857142857,7,Low,0.3346640106136302
Manisa,0.2727272727272727,11,Low,0.2631919879849005
Manresa,0.4,5,Low,0.4294144850840502
Maroussi,0.6666666666666666,15,Low,0.23856360282447234
Mazeikiai,0.5,12,Low,0.2829016319029166
Mechelen,0.7272727272727273,11,Low,0.2631919879849005
Mega Basket,0.8181818181818182,11,Low,0.2279309476674526
Melbourne United,0.7692307692307693,13,Low,0.22903490301738305
Merkezefendi,0.2857142857142857,7,Low,0.3346640106136302
Mersin SK,0.4,5,Low,0.4294144850840502
Metallurg,0.6666666666666666,9,Low,0.3079842869168074
Minas,0.5,6,Low,0.40008332465458574
Minnesota Lynx W,0.375,8,Low,0.33548006647191425
Minyor,0.5714285714285714,7,Low,0.3666060555964672
Mladost Zemun,0.6666666666666666,6,Low,0.3772021758705555
Mobis Phoebus,0.5833333333333334,12,Low,0.2789447708511224
Mogi,0.3333333333333333,6,Low,0.3772021758705555
Monaco,0.5789473684210527,19,Low,0.22200717267873302
Mornar Bar,0.5555555555555556,9,Low,0.32464394339996944
Municipal Galati,0.3333333333333333,9,Low,0.3079842869168074
Munster,0.36363636363636365,11,Low,0.2842798380047696
Murcia,0.4,5,Low,0.4294144850840502
NH Ostrava,0.46153846153846156,13,Low,0.27099775187306424
NKA Pecs,0.5,8,Low,0.3464823227814083
Nancy,0.3333333333333333,9,Low,0.3079842869168074
Nanterre,0.3076923076923077,13,Low,0.25089516567725745
Nantes,0.25,12,Low,0.245
Nardo,0.25,12,Low,0.245
Neptunas,0.5,14,Low,0.2619160170741759
Neptunas 2,0.6153846153846154,13,Low,0.26446672582181185
Neuchatel,0.42857142857142855,7,Low,0.3666060555964672
Nevezis,0.6666666666666666,12,Low,0.2667222164363905
New York Liberty W,0.75,8,Low,0.3000624934909393
New Zealand Breakers,0.5555555555555556,9,Low,0.32464394339996944
Nitra Blue Wings,0.6363636363636364,11,Low,0.2842798380047696
Nizhny Novgorod,0.6,15,Low,0.2479225685572009
Norrkoping,0.375,8,Low,0.33548006647191425
Novosibirsk,0.5,12,Low,0.2829016319029166
Nurnberger,0.4,10,Low,0.3036418943426615
Nymburk,0.5,18,Low,0.2309882151876055
OGM Ormanspor,0.6363636363636364,11,Low,0.2842798380047696
OKK Beograd,0.5714285714285714,7,Low,0.3666060555964672
OKK Novi Pazar,0.2,5,Low,0.3506154588719671
OSE Lions,0.5555555555555556,9,Low,0.32464394339996944
Obera TC,0.5555555555555556,9,Low,0.32464394339996944
Oberwart Gunners,0.5,6,Low,0.40008332465458574
Obras Sanitarias,0.7142857142857143,7,Low,0.3346640106136302
Okapi Aalst,0.5,10,Low,0.3099032106965012
Oldenburg,0.4444444444444444,9,Low,0.32464394339996944
Olimpia Milano,0.3333333333333333,18,Low,0.2177777777777778
Olimpico,0.4444444444444444,9,Low,0.32464394339996944
Oliveirense,0.0,5,Very High,0.0
Olomoucko,0.7692307692307693,13,Low,0.22903490301738305
Olympiacos,0.23529411764705882,17,Low,0.20164356224736518
Omega-Tauras,0.9285714285714286,14,Medium,0.1349073756323204
Oostende,0.4375,16,Low,0.24307840170405925
Opava,0.6363636363636364,11,Low,0.2842798380047696
Orleans,0.36363636363636365,11,Low,0.2842798380047696
Orzinuovi,0.8333333333333334,12,Low,0.21086242662684823
Osijek,0.4444444444444444,9,Low,0.32464394339996944
Ostrow Wielkopolski,0.5714285714285714,7,Low,0.3666060555964672
Ovarense,0.6,5,Low,0.4294144850840502
PAOK,0.5333333333333333,15,Low,0.252471985978056
PS Karlsruhe,0.45454545454545453,11,Low,0.29425758813377273
Panathinaikos,0.375,16,Low,0.23722022995520428
Panionios,1.0,7,Very High,0.0
Paralimni,0.8,5,Low,0.350615458871967
