guest_team,probability,total_games,reliability,confidence
Rimini,0.2,5,Low,0.3506154588719671
Roanne,0.6666666666666666,6,Low,0.3772021758705555
Rouen,0.5,6,Low,0.40008332465458574
Rytas,1.0,6,Very High,0.0
Rytas 2,0.6666666666666666,6,Low,0.3772021758705555
SPU Nitra,0.5714285714285714,7,Low,0.3666060555964672
Saint Quentin,0.42857142857142855,7,Low,0.3666060555964672
Salon Vilpas,0.4,5,Low,0.4294144850840502
Samara,0.2857142857142857,7,Low,0.3346640106136302
San Lorenzo,0.4,5,Low,0.4294144850840502
Saratov,0.625,8,Low,0.33548006647191425
Sassari,0.375,8,Low,0.33548006647191425
Sebastiani Rieti,0.6,5,Low,0.4294144850840502
Sencur,0.8,5,Low,0.350615458871967
Seoul Knights,0.6666666666666666,6,Low,0.3772021758705555
Seoul Thunders,0.4,5,Low,0.4294144850840502
Siauliai,0.4,5,Low,0.4294144850840502
Silute,0.5,6,Low,0.40008332465458574
Slask Wroclaw,0.2,5,Low,0.3506154588719671
Slavia Prague,0.8333333333333334,6,Low,0.2982045035305904
Sloboda,1.0,5,Very High,0.0
South East Melbourne,0.875,8,Low,0.2291765149399039
Spirou Charleroi,0.6666666666666666,9,Low,0.3079842869168074
Split,0.7142857142857143,7,Low,0.3346640106136302
Spojnia Stargard,0.7142857142857143,7,Low,0.3346640106136302
Sporting CP,0.8333333333333334,6,Low,0.2982045035305904
Srsni Pisek,0.3333333333333333,6,Low,0.3772021758705555
St. Chamond,0.16666666666666666,6,Low,0.29820450353059047
St. Polten,0.3333333333333333,6,Low,0.3772021758705555
Suduva-Mantinga,0.3333333333333333,6,Low,0.3772021758705555
Suwon KT,1.0,7,Very High,0.0
Sydney,0.75,8,Low,0.3000624934909393
Szczecin,0.8571428571428571,7,Low,0.25922962793631443
Szolnoki Olaj,0.6666666666666666,6,Low,0.3772021758705555
Szombathely,0.42857142857142855,7,Low,0.3666060555964672
Tajfun Sentjur,0.4,5,Low,0.4294144850840502
Tambov,0.6666666666666666,6,Low,0.3772021758705555
Tartu Ulikool,0.6,5,Low,0.4294144850840502
Tasmania JackJumpers,0.7142857142857143,7,Low,0.3346640106136302
Telsiai,0.42857142857142855,7,Low,0.3666060555964672
Temp Sumz Revda,0.8,5,Low,0.350615458871967
Tofas,0.6666666666666666,6,Low,0.3772021758705555
Tortona,0.6,5,Low,0.4294144850840502
Trefl Sopot,0.5,6,Low,0.40008332465458574
Trento,0.625,8,Low,0.33548006647191425
Tubingen,0.8,5,Low,0.350615458871967
Turk Telekom,0.5714285714285714,7,Low,0.3666060555964672
USK Prague,0.8571428571428571,7,Low,0.25922962793631443
UU-Korihait Uusikaupunki,0.8,5,Low,0.350615458871967
Udine,0.5,6,Low,0.40008332465458574
Ukmerges Stekas,0.5,8,Low,0.3464823227814083
Ulm,0.2222222222222222,9,Low,0.27161661029914536
Unics Kazan,0.6666666666666666,9,Low,0.3079842869168074
Union De Santa Fe,0.5,6,Low,0.40008332465458574
University-Ugra,0.6666666666666666,6,Low,0.3772021758705555
